# Does /v1/models report the real state of dynamically loaded adapters?
#
# Route: dynlora-route, static, indexes model-dyn + adapter-1..4 and never changes.
# Runtime: nothing preloaded; every adapter arrives via an admin call.
#
# gateway http://172.18.255.2  ns dynamic-lora  pod svc-dyn-kserve-579c658759-xmpnh

# --- phase 1: list vs admin calls (adapterctl loads BOTH names) ---
operation	entries	adapters listed
start	4	adapter-2,adapter-3,publishers/dynamic-lora/models/adapter-2,publishers/dynamic-lora/models/adapter-3
load adapter-1	6	adapter-1,adapter-2,adapter-3,publishers/dynamic-lora/models/adapter-1,publishers/dynamic-lora/models/adapter-2,publishers/dynamic-lora/models/adapter-3
load adapter-2	6	adapter-1,adapter-2,adapter-3,publishers/dynamic-lora/models/adapter-1,publishers/dynamic-lora/models/adapter-2,publishers/dynamic-lora/models/adapter-3
load adapter-3	6	adapter-1,adapter-2,adapter-3,publishers/dynamic-lora/models/adapter-1,publishers/dynamic-lora/models/adapter-2,publishers/dynamic-lora/models/adapter-3
load adapter-4	8	adapter-1,adapter-2,adapter-3,adapter-4,publishers/dynamic-lora/models/adapter-1,publishers/dynamic-lora/models/adapter-2,publishers/dynamic-lora/models/adapter-3,publishers/dynamic-lora/models/adapter-4
unload adapter-2	6	adapter-1,adapter-3,adapter-4,publishers/dynamic-lora/models/adapter-1,publishers/dynamic-lora/models/adapter-3,publishers/dynamic-lora/models/adapter-4
unload adapter-4	4	adapter-1,adapter-3,publishers/dynamic-lora/models/adapter-1,publishers/dynamic-lora/models/adapter-3
re-load adapter-2	6	adapter-1,adapter-2,adapter-3,publishers/dynamic-lora/models/adapter-1,publishers/dynamic-lora/models/adapter-2,publishers/dynamic-lora/models/adapter-3

# --- phase 2: listed? vs serves? for every indexed adapter ---
# direct = on the pod, no gateway. gateway = shared endpoint via the header index.
adapter	listed	direct	gateway	verdict
adapter-1	yes	200	200|adapter-1	agrees
adapter-2	yes	200	200|adapter-2	agrees
adapter-3	yes	200	200|adapter-3	agrees
adapter-4	no	404	404|{'message': 'The model `adapter-4`	agrees

# --- phase 3: unloading ONE name of a dual-registered adapter ---
# vLLM keys its adapter table by name, so two names for one set of weights
# are two independent entries. Unload takes a single lora_name.
step	bare listed	qualified listed	bare serves direct	QUALIFIED via gateway
both names registered	yes	yes	200	200|publishers/dynamic-lora/models/adapter-1
after naive unload	no	yes	404	200|publishers/dynamic-lora/models/adapter-1
after adapterctl unload	no	no	404	404|{'message': 'The model `publishers
restored	yes	yes	200	200|publishers/dynamic-lora/models/adapter-1
