# What the alternation reaches with names people actually use.
#
# SUPERSEDES an earlier version of this file that quoted 188 for "realistic" and
# 147 for "long namespace" and blamed the namespace for the gap. Both numbers
# matched neither escaping form and had no recorded derivation, and the
# attribution was wrong: the namespace is paid ONCE as a prefix, the adapter name
# is paid N times. Ten extra characters of namespace cost about ONE adapter.
#
# Two different limits bind, depending on the data plane:
#   HTTPHeaderMatch.Value maxLength 4096   apiserver, applies everywhere
#   re2.max_program_size.error_level       Envoy; istio 32768, envoy-gateway
#                                          4294967295 (off), kgateway unset -> 100
#
# COMPUTED, hack/alternation-ceiling.py. Re-runnable arithmetic, no cluster.
mean-adapter-name	re.escape (shipped)	minimal escaping	RE2 left at 100
10 chars (spike fixture)	297	320	5
16 chars	237	252	2
20 chars	175	192	2
24 chars	155	168	1
30 chars	118	130	1

# namespace length barely matters: same names, two namespace lengths
namespace	mean-adapter-name	re.escape	minimal
genai-serving (13 chars)	20 chars	175	192
redhat-ods-applications (23 chars)	20 chars	175	191

# MEASURED on the cluster, three data planes, realistic profile
# (genai-serving / granite-3-1-8b-instruct / sql-generation, customer-support, ...)
adapters	pattern-bytes	istio	kgateway	envoy-gw	kgateway RE2 program size
2	96	ok	ok	ok	under 100
3	114	ok	REFUSED	ok	107 > 100

# MEASURED, long-namespace profile, kgateway only
adapters	pattern-bytes	kgateway	RE2 program size
1	100	ok	under 100
2	126	REFUSED	117 > 100
3	151	REFUSED	139 > 100

# Fitted from those three rejections: program size ~= 0.865 * bytes + 8.4
# To reach the 4096-byte ceiling a data plane needs a program-size limit of ~3550.
# kgateway does not expose the setting, so there it is unavailable, not untuned.
